WeatherPy_vacation_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
5,Vaini,TO,86.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
10,Cidreira,BR,76.3,few clouds,-30.1811,-50.2056,Hotel Castelo
19,Hervey Bay,AU,82.99,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
21,Arraial Do Cabo,BR,76.32,clear sky,-22.9661,-42.0278,Pousada Porto Praia
22,Kavieng,PG,75.92,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
23,Ambon,ID,79.0,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
24,Rikitea,PF,79.45,scattered clouds,-23.1203,-134.9692,Pension Maro'i
26,Hithadhoo,MV,81.28,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
37,Kalmunai,LK,75.88,overcast clouds,7.4167,81.8167,VS Villa
48,Cantaura,VE,79.14,broken clouds,9.3057,-64.3584,Hotel Lorenzana
49,Lompoc,US,75.0,few clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
51,San Quintin,MX,75.76,clear sky,30.4833,-115.95,Old Mill Hotel
55,Charters Towers,AU,77.5,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
56,Atuona,PF,77.47,clear sky,-9.8,-139.0333,Villa Enata
57,Vila Velha,BR,79.0,light rain,-20.3297,-40.2925,Hotel Vitória Palace
60,Tecoanapa,MX,81.19,overcast clouds,16.5167,-98.75,Hotel Manglares
61,Kloulklubed,PW,80.6,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
63,Hilo,US,84.2,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
66,Mar Del Plata,AR,77.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Tual,ID,84.2,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
76,Banda Aceh,ID,78.58,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
82,La Macarena,CO,79.29,scattered clouds,2.1837,-73.7849,Casa Hotel Real
83,Port Blair,IN,76.39,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
84,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
88,Byron Bay,AU,80.6,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
90,Santiago,CL,82.4,clear sky,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
98,Pisco,PE,75.2,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
100,Vanimo,PG,81.55,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
106,Jungapeo,MX,75.0,overcast clouds,19.45,-100.4833,Hotel Xungapety
107,Takoradi,GH,79.3,scattered clouds,4.8845,-1.7554,Raybow International Hotel
108,Georgetown,MY,78.01,few clouds,5.4112,100.3354,Cititel Penang
112,Hermosillo,MX,87.8,clear sky,29.0667,-110.9667,Hotel San Andrés
114,Etchojoa,MX,84.0,clear sky,26.9167,-109.6333,Cuadra RT
115,Tayoltita,MX,75.16,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
116,Souillac,MU,78.8,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Puerto El Triunfo,SV,86.0,few clouds,13.2833,-88.55,Hotel Jardin
123,Guerrero Negro,MX,79.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
124,Vao,NC,78.24,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
127,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
134,Kollam,IN,82.4,mist,8.8833,76.6,The Raviz Ashtamudi
137,Faanui,PF,81.41,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
149,Ridgecrest,US,75.0,broken clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
165,Sola,VU,82.81,overcast clouds,-13.8833,167.55,Leumerus Bungalows
167,Kapaa,US,80.01,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
169,Kaeo,NZ,77.0,few clouds,-35.1,173.7833,Bushido Lodge
171,Padang,ID,75.38,broken clouds,-0.9492,100.3543,Mercure Padang
174,Luanda,AO,78.8,clear sky,-8.8368,13.2343,EPIC SANA Luanda
186,Morondava,MG,80.17,overcast clouds,-20.2833,44.2833,La Case Bambou
188,Paciran,ID,77.47,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
