City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Wanning,18.8003,110.3967,53.8,69,98,16.64,CN,2021-01-11 22:51:10
1,Hilo,19.7297,-155.09,80.6,61,40,5.75,US,2021-01-11 22:50:24
2,Ixtapa,20.7,-105.2,71.6,78,1,10.36,MX,2021-01-11 22:50:30
3,Chokurdakh,70.6333,147.9167,-27.36,83,87,1.16,RU,2021-01-11 22:50:43
4,Ilulissat,69.2167,-51.1,24.8,93,90,2.3,GL,2021-01-11 22:50:46
5,Nome,64.5011,-165.4064,15.8,73,90,17.27,US,2021-01-11 22:54:08
6,Kapaa,22.0752,-159.319,80.6,69,40,9.22,US,2021-01-11 22:46:05
7,Causapscal,48.3542,-67.227,18.46,95,93,0.38,CA,2021-01-11 22:57:02
8,Cockburn Town,21.4612,-71.1419,78.8,73,40,11.5,TC,2021-01-11 22:50:53
9,Rawson,-43.3002,-65.1023,61.2,37,50,7.81,AR,2021-01-11 22:50:54
10,Zwedru,6.0667,-8.1281,72.52,96,93,3.18,LR,2021-01-11 22:57:02
11,Lethem,3.3803,-59.7968,78.06,75,79,11.23,GY,2021-01-11 22:57:02
12,Sidi Ali,36.0998,0.4206,47.43,88,99,3.36,DZ,2021-01-11 22:57:02
13,Ushuaia,-54.8,-68.3,46.4,71,75,3.44,AR,2021-01-11 22:47:40
14,Mount Isa,-20.7333,139.5,87.8,48,1,8.05,AU,2021-01-11 22:50:31
15,Butaritari,3.0707,172.7902,80.78,81,78,22.44,KI,2021-01-11 22:50:46
16,Rikitea,-23.1203,-134.9692,78.22,76,100,18.59,PF,2021-01-11 22:50:24
17,Saint-Philippe,-21.3585,55.7679,77.0,88,20,4.61,RE,2021-01-11 22:50:35
18,Lixourion,38.2019,20.4314,58.96,87,100,2.35,GR,2021-01-11 22:57:03
19,Bluff,-46.6,168.3333,60.8,64,1,4.94,NZ,2021-01-11 22:50:30
20,Port Hardy,50.6996,-127.4199,48.2,87,40,16.11,CA,2021-01-11 22:56:37
21,Klaksvik,62.2266,-6.589,35.6,75,40,21.85,FO,2021-01-11 22:50:55
22,Saskylakh,71.9167,114.0833,-18.26,87,100,7.05,RU,2021-01-11 22:50:27
23,Alofi,-19.0595,-169.9187,84.2,70,75,8.05,NU,2021-01-11 22:50:14
24,Barrow,71.2906,-156.7887,1.4,71,90,23.02,US,2021-01-11 22:50:34
25,Nikolskoye,59.7035,30.7861,10.4,79,75,13.42,RU,2021-01-11 22:50:39
26,Belaya Gora,68.5333,146.4167,-37.25,84,43,0.25,RU,2021-01-11 22:54:39
27,Vasylivka,47.4369,35.2742,26.83,95,25,4.16,UA,2021-01-11 22:57:03
28,Norman Wells,65.282,-126.8329,1.4,92,90,3.44,CA,2021-01-11 22:50:41
29,Tecpan,14.7623,-90.9947,78.01,53,20,16.11,GT,2021-01-11 22:57:04
30,Ambulu,-8.345,113.6058,77.43,88,82,3.74,ID,2021-01-11 22:56:54
31,Hithadhoo,-0.6,73.0833,80.83,78,69,17.4,MV,2021-01-11 22:50:36
32,Laguna,38.421,-121.4238,60.01,62,1,4.61,US,2021-01-11 22:51:18
33,Port Alfred,-33.5906,26.891,72.68,90,91,15.57,ZA,2021-01-11 22:50:41
34,Nouadhibou,20.931,-17.0347,66.2,52,100,24.16,MR,2021-01-11 22:57:04
35,La Trinidad,16.455,120.5875,53.82,98,39,4.07,PH,2021-01-11 22:57:04
36,Uong Bi,21.0333,106.7833,53.6,37,0,5.75,VN,2021-01-11 22:57:04
37,Tiksi,71.6872,128.8694,-35.37,82,81,8.19,RU,2021-01-11 22:50:40
38,Avarua,-21.2078,-159.775,84.2,74,20,13.8,CK,2021-01-11 22:48:16
39,Katsuura,35.1333,140.3,37.99,65,75,6.91,JP,2021-01-11 22:50:37
40,Lavrentiya,65.5833,-171.0,-11.74,82,100,11.34,RU,2021-01-11 22:51:07
41,Constitucion,-35.3333,-72.4167,60.03,54,0,19.44,CL,2021-01-11 22:51:11
42,Vaini,-21.2,-175.2,84.2,65,75,8.05,TO,2021-01-11 22:50:41
43,Panama City,8.9936,-79.5197,84.2,79,40,11.5,PA,2021-01-11 22:54:22
44,Tabou,4.423,-7.3528,77.97,86,100,7.16,CI,2021-01-11 22:54:25
45,Tulun,54.5611,100.5792,-5.57,88,100,10.11,RU,2021-01-11 22:57:05
46,Chuy,-33.6971,-53.4616,72.01,92,100,7.65,UY,2021-01-11 22:50:47
47,Bredasdorp,-34.5322,20.0403,66.2,94,100,9.22,ZA,2021-01-11 22:50:39
48,Ponta Do Sol,32.6667,-17.1,55.0,65,13,1.99,PT,2021-01-11 22:50:30
49,Albany,42.6001,-73.9662,30.99,70,99,2.08,US,2021-01-11 22:46:48
50,East London,-33.0153,27.9116,73.06,89,81,10.27,ZA,2021-01-11 22:50:26
51,Hobart,-42.8794,147.3294,66.99,59,40,17.27,AU,2021-01-11 22:46:43
52,Jamestown,42.097,-79.2353,33.01,80,90,11.5,US,2021-01-11 22:50:38
53,Isiro,2.7739,27.616,67.5,65,0,1.86,CD,2021-01-11 22:50:49
54,Thunder Bay,48.4001,-89.3168,32.0,80,90,8.05,CA,2021-01-11 22:57:06
55,Yellowknife,62.456,-114.3525,12.99,92,40,5.75,CA,2021-01-11 22:50:45
56,Kaeo,-35.1,173.7833,70.88,56,73,6.55,NZ,2021-01-11 22:54:48
57,Mataura,-46.1927,168.8643,70.36,42,1,1.45,NZ,2021-01-11 22:50:26
58,Hofn,64.2539,-15.2082,30.07,87,0,3.67,IS,2021-01-11 22:50:54
59,Iqaluit,63.7506,-68.5145,6.8,78,90,2.86,CA,2021-01-11 22:48:36
60,Nanortalik,60.1432,-45.2371,30.87,93,100,4.38,GL,2021-01-11 22:50:33
61,Hermanus,-34.4187,19.2345,68.0,87,89,4.0,ZA,2021-01-11 22:50:35
62,Atuona,-9.8,-139.0333,77.56,81,17,16.2,PF,2021-01-11 22:50:33
63,Punta Arenas,-53.15,-70.9167,50.0,57,75,37.98,CL,2021-01-11 22:50:33
64,Mar Del Plata,-38.0023,-57.5575,68.0,60,0,14.97,AR,2021-01-11 22:50:23
65,Bengkulu,-3.8004,102.2655,75.02,95,100,10.2,ID,2021-01-11 22:51:03
66,Deputatskiy,69.3,139.9,-39.78,79,0,1.03,RU,2021-01-11 22:51:20
67,Bethel,41.3712,-73.414,30.99,69,90,1.88,US,2021-01-11 22:49:05
68,Srednekolymsk,67.45,153.6833,-34.96,82,3,4.83,RU,2021-01-11 22:57:07
69,New Norfolk,-42.7826,147.0587,66.99,65,52,3.0,AU,2021-01-11 22:50:46
70,Maldonado,-34.6667,-54.9167,71.01,88,90,11.5,UY,2021-01-11 22:57:07
71,Flinders,-34.5833,150.8552,78.01,71,100,1.99,AU,2021-01-11 22:51:16
72,Busselton,-33.65,115.3333,57.99,78,100,10.36,AU,2021-01-11 22:50:29
73,Nichinan,31.6,131.3667,41.0,93,75,2.3,JP,2021-01-11 22:56:33
74,Aku,6.7081,7.3167,76.75,63,1,5.21,NG,2021-01-11 22:57:07
75,Cape Town,-33.9258,18.4232,70.0,68,0,14.97,ZA,2021-01-11 22:50:26
76,Geraldton,-28.7667,114.6,73.4,78,54,12.66,AU,2021-01-11 22:50:38
77,Puerto Escondido,15.85,-97.0667,80.6,69,20,3.44,MX,2021-01-11 22:57:08
78,Arraial Do Cabo,-22.9661,-42.0278,76.89,88,59,22.48,BR,2021-01-11 22:48:46
79,Ilorin,8.5,4.55,77.36,49,1,7.02,NG,2021-01-11 22:57:08
80,Safford,32.834,-109.7076,53.6,28,1,8.05,US,2021-01-11 22:57:08
81,Abu Samrah,35.3029,37.1841,54.23,46,98,3.49,SY,2021-01-11 22:57:08
82,Mehamn,71.0357,27.8492,12.2,67,0,10.36,NO,2021-01-11 22:50:59
83,Yenagoa,4.9247,6.2642,76.91,88,0,6.13,NG,2021-01-11 22:57:08
84,Carovigno,40.708,17.655,51.8,82,75,9.22,IT,2021-01-11 22:57:08
85,Yerbogachen,61.2767,108.0108,-33.59,83,96,2.89,RU,2021-01-11 22:51:09
86,Victoria,22.2855,114.1577,48.99,31,22,1.99,HK,2021-01-11 22:47:17
87,Oystese,60.3882,6.1925,24.01,93,19,3.11,NO,2021-01-11 22:57:09
88,Port Blair,11.6667,92.75,78.71,79,12,12.21,IN,2021-01-11 22:51:10
89,Tuktoyaktuk,69.4541,-133.0374,3.2,85,90,14.97,CA,2021-01-11 22:50:41
90,Buraydah,26.326,43.975,51.8,76,0,4.61,SA,2021-01-11 22:56:26
91,Ebebiyin,2.1511,11.3353,71.51,90,28,4.68,GQ,2021-01-11 22:57:09
92,Gorom-Gorom,14.4439,-0.2361,74.62,18,0,8.59,BF,2021-01-11 22:57:09
93,Pochutla,15.7432,-96.4661,87.01,48,20,8.05,MX,2021-01-11 22:57:10
94,Aklavik,68.2191,-135.0107,3.2,85,100,2.3,CA,2021-01-11 22:50:35
95,San Blas,21.5167,-105.2667,78.8,47,1,6.91,MX,2021-01-11 22:57:10
96,Yanaul,56.2719,54.9309,-5.91,90,100,12.75,RU,2021-01-11 22:53:02
97,Puerto Carreno,6.189,-67.4859,81.57,67,34,12.21,CO,2021-01-11 22:56:37
98,Qaanaaq,77.484,-69.3632,1.35,73,1,6.91,GL,2021-01-11 22:50:42
99,Praia Da Vitoria,38.7333,-27.0667,61.0,100,40,7.94,PT,2021-01-11 22:56:35
100,Mastic Beach,40.7668,-72.8521,35.6,64,90,4.61,US,2021-01-11 22:57:10
101,Mitsamiouli,-11.3847,43.2844,81.54,79,82,14.47,KM,2021-01-11 22:50:46
102,Mahebourg,-20.4081,57.7,78.8,94,40,18.41,MU,2021-01-11 22:46:07
103,Hastings,50.8552,0.5729,46.0,81,100,5.99,GB,2021-01-11 22:56:19
104,Port Elizabeth,-33.918,25.5701,68.0,94,90,9.22,ZA,2021-01-11 22:49:55
105,Ilhabela,-23.7781,-45.3581,77.9,88,80,8.55,BR,2021-01-11 22:57:11
106,Fortuna,40.5982,-124.1573,60.01,67,1,8.05,US,2021-01-11 22:50:59
107,Buluang,13.3068,123.3425,73.65,82,100,10.56,PH,2021-01-11 22:57:11
108,Ribeira Grande,38.5167,-28.7,62.62,89,100,19.57,PT,2021-01-11 22:50:29
109,Pangnirtung,66.1451,-65.7125,1.4,78,20,3.44,CA,2021-01-11 22:50:37
110,Izberbash,42.5696,47.8645,37.4,93,90,8.95,RU,2021-01-11 22:57:11
111,Dali,25.7,100.1833,33.71,90,100,5.17,CN,2021-01-11 22:57:11
112,Dikson,73.5069,80.5464,9.75,96,100,6.35,RU,2021-01-11 22:50:39
113,Tomohon,1.3346,124.8392,77.0,94,20,2.3,ID,2021-01-11 22:57:12
114,Conde,-7.2597,-34.9075,78.8,83,20,6.91,BR,2021-01-11 22:53:46
115,Beyneu,45.3167,55.2,25.25,97,89,7.61,KZ,2021-01-11 22:54:49
116,San Lawrenz,36.0553,14.204,55.99,87,0,8.05,MT,2021-01-11 22:57:12
117,Albina,5.5,-54.05,73.98,95,37,3.65,SR,2021-01-11 22:57:12
118,Lebu,-37.6167,-73.65,56.05,63,0,19.37,CL,2021-01-11 22:50:41
119,Upernavik,72.7868,-56.1549,23.2,94,79,29.15,GL,2021-01-11 22:50:50
120,Port Shepstone,-30.7414,30.455,73.44,81,100,5.97,ZA,2021-01-11 22:56:55
121,Vila Franca Do Campo,37.7167,-25.4333,60.8,94,90,4.61,PT,2021-01-11 22:50:47
122,Carnarvon,-24.8667,113.6333,75.2,100,75,13.8,AU,2021-01-11 22:50:37
123,Sumbuya,7.6467,-11.9611,75.97,89,96,3.47,SL,2021-01-11 22:57:12
124,Road Town,18.4167,-64.6167,78.01,73,20,8.05,VG,2021-01-11 22:54:17
125,Salinopolis,-0.6136,-47.3561,79.52,84,72,9.31,BR,2021-01-11 22:56:17
126,Muros,42.7762,-9.0603,44.01,88,0,7.85,ES,2021-01-11 22:51:05
127,Puerto Madryn,-42.7692,-65.0385,63.03,35,49,13.02,AR,2021-01-11 22:57:13
128,Castro,-24.7911,-50.0119,68.92,95,48,7.05,BR,2021-01-11 22:50:31
129,Lincoln,40.8,-96.667,48.2,46,1,14.97,US,2021-01-11 22:54:22
130,Puerto Leguizamo,-0.1934,-74.7819,77.83,80,62,3.24,CO,2021-01-11 22:50:36
131,Sur,22.5667,59.5289,65.21,50,0,11.39,OM,2021-01-11 22:51:13
132,Port Keats,-14.25,129.55,85.98,77,99,7.4,AU,2021-01-11 22:57:13
133,Rosario,-32.9468,-60.6393,78.01,64,0,10.36,AR,2021-01-11 22:55:43
134,Tasiilaq,65.6145,-37.6368,17.6,73,90,1.14,GL,2021-01-11 22:50:31
135,Awbari,26.5921,12.7805,66.7,24,32,9.75,LY,2021-01-11 22:54:40
136,Airai,-8.9266,125.4092,66.63,97,30,1.28,TL,2021-01-11 22:51:04
137,Ilo,-17.6394,-71.3375,70.74,73,20,4.47,PE,2021-01-11 22:54:20
138,Tarakan,3.3,117.6333,77.0,94,40,6.91,ID,2021-01-11 22:57:14
139,Finnsnes,69.2296,17.9811,15.8,57,32,10.36,NO,2021-01-11 22:57:14
140,Khatanga,71.9667,102.5,-19.95,88,100,5.66,RU,2021-01-11 22:50:42
141,Kuvandyk,51.4781,57.3552,-0.33,91,100,4.5,RU,2021-01-11 22:57:14
142,Talnakh,69.4865,88.3972,-20.13,86,95,1.5,RU,2021-01-11 22:50:54
143,Cidreira,-30.1811,-50.2056,78.1,84,79,26.8,BR,2021-01-11 22:50:29
144,Marystown,47.1666,-55.1483,31.53,92,2,14.47,CA,2021-01-11 22:57:15
145,Zyryanka,65.75,150.85,-40.31,81,51,2.35,RU,2021-01-11 22:56:06
146,Ossora,59.2353,163.0719,3.38,93,100,8.52,RU,2021-01-11 22:50:32
147,Taoudenni,22.6783,-3.9836,60.06,32,91,9.8,ML,2021-01-11 22:50:59
148,Channel-Port Aux Basques,47.5702,-59.1367,29.95,95,96,17.05,CA,2021-01-11 22:57:15
149,Puerto Ayora,-0.7393,-90.3518,78.8,73,75,16.11,EC,2021-01-11 22:50:27
150,Kiruna,67.8557,20.2251,-0.4,85,90,2.59,SE,2021-01-11 22:49:22
151,Yulara,-25.2406,130.9889,86.0,19,0,11.5,AU,2021-01-11 22:50:29
152,Clifton Springs,-38.15,144.5667,68.0,59,90,17.27,AU,2021-01-11 22:56:40
153,Iralaya,15.0,-83.2333,78.48,86,100,13.38,HN,2021-01-11 22:57:15
154,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-0.4,78,63,8.95,RU,2021-01-11 22:51:09
155,San Anselmo,37.9747,-122.5616,60.8,48,1,6.91,US,2021-01-11 22:57:16
156,Hamilton,39.1834,-84.5333,30.2,64,75,4.61,US,2021-01-11 22:46:55
157,Paamiut,61.994,-49.6678,27.63,98,100,14.41,GL,2021-01-11 22:50:47
